Ticker,Date,Time,Open,High,Low,Close,Vol
HD,20030303,1600,23.2865,23.5641,22.8008,22.8900,10208200
HD,20030304,1600,22.6932,22.7031,21.8604,21.9100,11893200
HD,20030305,1600,21.8113,22.2971,21.5733,21.9600,11008300
HD,20030306,1600,21.7811,22.2471,21.5729,21.9100,8971100
HD,20030307,1600,21.3880,22.3994,21.3285,22.3300,10939100
HD,20030310,1600,22.1563,22.4140,21.6507,21.7300,7610700
HD,20030311,1600,21.8586,22.0971,21.6200,21.6200,7190100
HD,20030312,1600,21.6225,22.0499,21.5330,22.0400,10365400
HD,20030313,1600,22.3639,23.0597,22.1353,23.0100,11208700
HD,20030314,1600,23.0687,23.3370,22.4624,22.8500,9413500
HD,20030317,1600,22.7857,23.8395,22.4577,23.7600,14499500
HD,20030318,1600,23.8099,23.9491,23.1936,23.8000,11698400
HD,20030319,1600,23.7341,24.5491,23.6546,24.4000,11782400
HD,20030320,1600,24.1637,24.8793,23.5673,24.7700,12848600
HD,20030321,1600,25.3516,25.6499,24.9440,25.6300,15717600
HD,20030324,1600,24.3593,25.3536,23.9616,24.2400,12019100
HD,20030325,1600,24.2045,25.0594,24.1747,24.9600,13468600
HD,20030326,1600,25.0016,25.5483,24.8525,25.2700,11527200
HD,20030327,1600,24.8702,25.1386,24.5522,24.9100,7644700
HD,20030328,1600,24.9074,24.9074,24.2713,24.4800,7364200
HD,20030331,1600,23.8621,24.6674,23.6930,24.2200,11630500
HD,20030401,1600,24.4611,24.6400,23.8349,24.6400,10403600
HD,20030402,1600,24.9545,25.9786,24.9545,25.7300,13033900
HD,20030403,1600,25.8999,26.1286,25.7010,25.8800,11812400
HD,20030404,1600,25.8923,26.4191,25.8625,26.2700,10454500
HD,20030407,1600,27.0844,27.3329,26.0706,26.1700,13721300
HD,20030408,1600,26.3396,26.5384,25.8227,26.2700,11268600
HD,20030409,1600,26.2760,26.4450,25.5006,25.6000,12678400
